Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.5868,0.6235,0.6056,0.6611,0.6321
CenterOnly MLP,0.5752,0.6196,0.629,0.4944,0.5537
AttnPool MLP,0.5677,0.5955,0.6006,0.5222,0.5587
MaxPool MLP,0.5517,0.601,0.5861,0.4917,0.5347
