Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.713,0.7081,0.682,0.6192,0.6491
AttnPool MLP,0.7123,0.7214,0.6695,0.6695,0.6695
CenterOnly MLP,0.7036,0.7062,0.6746,0.59,0.6295
MaxPool MLP,0.653,0.6626,0.6687,0.4644,0.5481
