model,pooling,roc_auc,pr_auc,precision,recall,f1,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.7613402425117348,0.289443274078156,0.2302158273381295,0.46715328467153283,0.30843373493975906,128,428,2990,146,3692,0.07421451787648971
mlp,max,0.7157053896716823,0.24320674328731662,0.2630208333333333,0.3686131386861314,0.3069908814589666,101,283,3135,173,3692,0.07421451787648971
logistic_regression,attn,0.7507527772676215,0.19975339828862226,0.1795774647887324,0.5583941605839416,0.27175843694493784,153,699,2719,121,3692,0.07421451787648971
logistic_regression,max,0.6899219674287692,0.18160323038265996,0.1466372657111356,0.4854014598540146,0.2252328535139712,133,774,2644,141,3692,0.07421451787648971
