Model,AUROC,AUPRC,Precision,Recall,F1
AttnPool MLP,0.5967,0.6361,0.6064,0.5778,0.5917
Hybrid (C+Attn),0.5832,0.6065,0.601,0.6361,0.6181
CenterOnly MLP,0.5654,0.5971,0.6048,0.625,0.6148
MaxPool MLP,0.5385,0.612,0.5545,0.6639,0.6043
