tissue,roc_auc,pr_auc,pos_count_test
whole body,0.6524678817372677,0.8891844381381382,2134
gland,0.6465632069315758,0.6799274551939604,1379
endocrine gland,0.6457230545954246,0.6660109457224326,1333
internal male genital organ,0.645438018102326,0.48418946813521524,839
vagina,0.6375884967894188,0.03293753494490128,14
rectum,0.6343398203863321,0.08428966182202552,43
cingulate gyrus,0.6305379194864996,0.05503409672963321,11
mucosa,0.6297824696097248,0.02493348588602029,12
oral mucosa,0.6289187460012796,0.02487360069097164,12
nasopharynx,0.6286425339366516,0.03739716123300841,17
cerebral gyrus,0.6284448475545943,0.05473710911692668,11
cingulate cortex,0.6250959324635457,0.05534554030333076,11
myelencephalon,0.6177215189873416,0.061476225224755356,10
parathyroid gland,0.6175292245211569,0.01126936625716897,14
medulla oblongata,0.6166091292673571,0.057824615453445694,10
brain ventricle,0.6004611837048424,0.008554128151878157,15
lateral ventricle,0.5948501152959262,0.008433989370810052,15
hippocampus,0.48131277097854125,0.0054635983051721446,14
