tissue,roc_auc,pr_auc,pos_count_test
integument,0.7975986003237188,0.44219575602674716,296
midbrain,0.7967919177596595,0.36915892066338074,13
fibre tract,0.7964965142384497,0.3691270445844094,13
sense organ,0.7963741318948044,0.42322135652239395,268
skin,0.7959007203854779,0.4335344925197254,288
uterus,0.7953711670165536,0.3740775083168505,245
colorectum,0.7951352781000355,0.3573225591026225,134
prostate gland,0.7950814712519308,0.43527506023355134,236
excretory gland,0.7948912134551364,0.4755250635098886,333
vertebrate muscular system,0.7936433096377968,0.3775499604979264,244
pharynx,0.7922852598091199,0.09422584694091059,41
skeletal muscle,0.7920814132104455,0.32935325504261637,217
neostriatum,0.7918263702568034,0.31682050180622273,8
hematopoietic cell,0.7905680212884786,0.22887735018324795,122
forebrain,0.7888351819649531,0.3977951741742188,259
stomach,0.787380504189274,0.38381209743221206,154
muscular system,0.7854874640039119,0.40980245593143705,284
blood,0.7843543550864193,0.3382209028984191,204
skeletal system,0.7825798926290919,0.3904957678261902,287
pancreas,0.779129874047032,0.3907374717541929,243
caudate nucleus,0.7789862016098121,0.3166170654220082,8
bronchus,0.7782996376120543,0.23227514516175404,49
intestine,0.7780540660999913,0.4540656852050984,396
bronchoalveolar system,0.7771314133129887,0.23159884709789863,49
lymphoid tissue,0.7760597993037067,0.41927197065204247,304
cerebral lobe,0.7744790954269822,0.31398792548925214,180
metencephalon,0.7737463884430177,0.2872462121011134,125
cerebellum,0.773413916977983,0.27684307303629774,123
lateral ventricle,0.7723545990263899,0.02177328357834475,15
brain ventricle,0.7701255444529849,0.021596643369758264,15
trunk,0.7700486742562753,0.3757305986198506,204
brain stem,0.7695003600262532,0.290552110543897,126
hindbrain,0.7689523554637967,0.28703320174999203,126
digestive gland,0.7677074612044628,0.5783502553093691,616
cerebral cortex,0.766683605411929,0.3287408468898368,195
telencephalon,0.7614108220992502,0.3322560328346148,204
cerebral hemisphere,0.7611792334007785,0.3314605579319504,204
fetus,0.7531586005693716,0.41803557783392087,380
organism form,0.7531554421264911,0.42355019639900365,395
embryonic structure,0.7531132860121454,0.42348808849228275,395
placenta,0.7530962520292686,0.41796412115980297,380
basal ganglion,0.7495239252866578,0.1613326157949053,19
lung,0.7469273295561814,0.4903167281886072,494
hematopoietic system,0.7457725762657361,0.4315760812392271,398
respiratory system,0.7442696144897678,0.5203902984471729,578
ganglion,0.7440201041895959,0.14806345914246846,21
internal female genital organ,0.7355737219152534,0.4959478453890563,557
alimentary canal,0.7348679969180937,0.5279565190718642,645
urogenital system,0.7341987115931197,0.8351872639857372,1681
gastrointestinal tract,0.7340009262414694,0.4871498177008714,555
female reproductive system,0.7324320202142454,0.8186066518304291,1613
reproductive system,0.73203184609804,0.8260892299802856,1645
viscus,0.731735651032278,0.6259873467921013,903
breast,0.7280297207276454,0.021166117354587045,15
seminal vesicle,0.7261603375527426,0.025912732774273826,10
larynx,0.7252451849226043,0.17110907743073206,13
mucosa,0.7210812539987205,0.021023946371099722,12
oral mucosa,0.7210492642354447,0.022528166698982704,12
cerebral gyrus,0.7192841693992884,0.19036320054420866,11
cingulate gyrus,0.7144003348915091,0.19025260943322242,11
hippocampus,0.7140936282311618,0.01353510100904841,14
amygdala,0.713868778280543,0.13941650932080302,17
male reproductive gland,0.7133342902426609,0.6452533039307948,1076
male reproductive system,0.7132721966983806,0.6454445408215213,1077
avian pallium,0.7130769230769232,0.13941305693916664,17
brain,0.7116604578099605,0.7613738344474401,1459
oviduct,0.7107006968492156,0.021003552438335956,18
cingulate cortex,0.7101793064954999,0.19029142053292442,11
nervous system,0.7100978858551386,0.7617533975969141,1465
central nervous system,0.7100605565036027,0.7617213157895556,1465
vagina,0.7090719499478624,0.02152445461019534,14
whole body,0.7061681035235495,0.9115774678855046,2134
testis,0.7060872668917827,0.53303064738571,771
gonad,0.7060503799008758,0.5330903275660135,771
internal male genital organ,0.7022186142107684,0.5567224273640554,839
endocrine gland,0.7005384523701019,0.7204227171679248,1333
female reproductive gland,0.699762784032447,0.6039979555267008,979
gland,0.6993144337928376,0.7307287559201927,1379
head,0.6985720011725504,0.7655473297823954,1510
subthalamic nucleus,0.6965770953294945,0.22094623063755,12
epididymis,0.6908019472200873,0.027065480251113168,15
trigeminal nerve,0.6878347360367253,0.3354870920603994,3
cranial nerve,0.6878347360367253,0.3356245438431863,3
nasopharynx,0.6867647058823529,0.02762073587796661,17
ophthalmic nerve,0.6799285896454985,0.3356249336306679,3
cranial ganglion,0.6771209633278599,0.37445411404581597,7
trigeminal ganglion,0.6731800766283524,0.37431920291785675,7
rectum,0.6658535263186426,0.06173152404699799,43
medulla oblongata,0.6576141158419639,0.20546142691988742,10
myelencephalon,0.6452243958573072,0.20524272182997783,10
globus pallidus,0.6447181171319102,0.2893059785047175,7
pons,0.6428084526244036,0.2813336158448821,9
parathyroid gland,0.6393721530102628,0.016449086277857447,14
peripheral ganglion,0.6366015575130857,0.2374939188350614,6
nucleus lentiformis,0.6360700602079912,0.28904759161800786,7
spinal ganglion,0.6264521894548705,0.22611775225522282,6
animal,0.37018617699566436,0.9987737867680431,2614
