Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.8128,0.6151,0.6016,0.5441,0.5714
AttnPool MLP,0.8077,0.5411,0.5032,0.5809,0.5392
CenterOnly MLP,0.8038,0.5553,0.6389,0.5074,0.5656
MaxPool MLP,0.7898,0.4206,0.3065,0.5588,0.3958
