model,pooling,roc_auc,pr_auc,precision,recall,f1,mcc,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.8145714941402071,0.2273363831605535,0.16216216216216217,0.3380281690140845,0.2191780821917808,0.21268158235056395,24,124,3497,47,3692,0.019230769230769232
logistic_regression,attn,0.764394708488434,0.11460268384381335,0.1326530612244898,0.36619718309859156,0.1947565543071161,0.19555053045899717,26,170,3451,45,3692,0.019230769230769232
mlp,max,0.7643597014286769,0.21304706932315015,0.13333333333333333,0.39436619718309857,0.199288256227758,0.20403699724495927,28,182,3439,43,3692,0.019230769230769232
logistic_regression,max,0.6792264217728353,0.09245078100330137,0.12790697674418605,0.30985915492957744,0.18106995884773663,0.1749224782548858,22,150,3471,49,3692,0.019230769230769232
