Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.7484,0.7219,0.6788,0.6093,0.6422
AttnPool MLP,0.747,0.7082,0.6872,0.5721,0.6244
CenterOnly MLP,0.7322,0.6991,0.6439,0.614,0.6286
MaxPool MLP,0.6386,0.5876,0.4708,0.7488,0.5781
