Model,AUROC,AUPRC,Precision,Recall,F1
CenterOnly MLP,0.7247,0.6999,0.6968,0.5527,0.6165
AttnPool MLP,0.7186,0.7297,0.6805,0.692,0.6862
Hybrid (C+Attn),0.714,0.7123,0.6694,0.6835,0.6764
MaxPool MLP,0.6725,0.7057,0.6901,0.4135,0.5172
