Model,AUROC,AUPRC,Precision,Recall,F1
CenterOnly MLP,0.819,0.6196,0.7576,0.5556,0.641
Hybrid (C+Attn),0.8185,0.6148,0.6281,0.563,0.5938
AttnPool MLP,0.7876,0.6017,0.5906,0.5556,0.5725
MaxPool MLP,0.7704,0.4116,0.2736,0.6,0.3759
