model,pooling,roc_auc,pr_auc,precision,recall,f1,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.7734051675477807,0.43599575105456667,0.40830945558739257,0.5418250950570342,0.46568627450980393,285,413,2753,241,3692,0.14247020585048753
mlp,max,0.7293225429888381,0.4129744272201954,0.44238683127572015,0.40874524714828897,0.424901185770751,215,271,2895,311,3692,0.14247020585048753
logistic_regression,attn,0.7695716608739723,0.38159989516822196,0.2915966386554622,0.6596958174904943,0.40442890442890445,347,843,2323,179,3692,0.14247020585048753
logistic_regression,max,0.7357858808778633,0.34709219321930807,0.26706484641638223,0.5950570342205324,0.36866902237926974,313,859,2307,213,3692,0.14247020585048753
