model,pooling,roc_auc,pr_auc,precision,recall,f1,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.7749739388800684,0.45332083957784475,0.37326607818411095,0.5627376425855514,0.4488248673237301,296,497,2669,230,3692,0.14247020585048753
logistic_regression,attn,0.7715742837995911,0.38630549785588525,0.30831826401446655,0.6482889733840305,0.4178921568627451,341,765,2401,185,3692,0.14247020585048753
mlp,max,0.7227553209120672,0.36304317787793505,0.3593984962406015,0.4543726235741445,0.40134340890008396,239,426,2740,287,3692,0.14247020585048753
logistic_regression,max,0.7369304084029697,0.33516686674141466,0.28152753108348133,0.6026615969581749,0.3837772397094431,317,809,2357,209,3692,0.14247020585048753
