Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.7685,0.7097,0.6845,0.662,0.673
CenterOnly MLP,0.7669,0.7063,0.6974,0.6385,0.6667
AttnPool MLP,0.7476,0.678,0.6482,0.6056,0.6262
MaxPool MLP,0.6982,0.6392,0.5808,0.5399,0.5596
