Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.7724,0.259,0.2765,0.3052,0.2901
AttnPool MLP,0.7589,0.2431,0.2356,0.2662,0.25
CenterOnly MLP,0.7495,0.1822,0.2017,0.3117,0.2449
MaxPool MLP,0.7426,0.175,0.1381,0.487,0.2152
