model,pooling,accuracy,macro_f1,weighted_f1,n_test
mlp,attn,0.8106694560669456,0.7258408903712136,0.8131637482625953,1912
logistic_regression,attn,0.7881799163179917,0.6998869310773403,0.790847751288628,1912
mlp,max,0.7819037656903766,0.6642920363588654,0.7850663070527243,1912
logistic_regression,max,0.7092050209205021,0.5821325004605733,0.7120938114676064,1912
