model,pooling,accuracy,macro_f1,weighted_f1,n_test
mlp,attn,0.8179916317991632,0.7212399556603225,0.8190369235476477,1912
logistic_regression,attn,0.7944560669456067,0.704509764559406,0.7969078299519001,1912
mlp,max,0.770397489539749,0.657360506273107,0.7703124915645858,1912
logistic_regression,max,0.7290794979079498,0.6356984630764672,0.7291551323907461,1912
