label,prevalence,ROC_model,ROC_random,ROC_gain,PRAUC_model,PRAUC_random,PRAUC_gain,F1_model,F1_random,F1_gain
Brain,0.5575,0.7234,0.5,0.2234,0.7522,0.5575,0.1947,0.736,0.7159,0.0201
Testis,0.2946,0.7043,0.5,0.2043,0.5169,0.2946,0.2223,0.5136,0.4551,0.0585
Lung,0.1888,0.7415,0.5,0.2415,0.4528,0.1888,0.2641,0.4604,0.3176,0.1428
Liver,0.1265,0.8147,0.5,0.3147,0.4703,0.1265,0.3439,0.4824,0.2246,0.2579
Kidney,0.1169,0.7931,0.5,0.2931,0.4315,0.1169,0.3145,0.4154,0.2094,0.206
