Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.8012,0.5811,0.5374,0.5852,0.5603
AttnPool MLP,0.7846,0.5657,0.5157,0.6074,0.5578
CenterOnly MLP,0.7841,0.5861,0.7059,0.5333,0.6076
MaxPool MLP,0.774,0.4067,0.2604,0.5556,0.3546
