tissue,roc_auc,pr_auc,pos_count_test
prostate gland,0.7506780372867119,0.34832141405464345,236
cerebral lobe,0.7493867687958784,0.24062073495869052,180
hematopoietic system,0.7473877952176384,0.4025479884828763,398
myeloid progenitor cell,0.7463108687183482,0.1491325776112647,50
hematopoietic stem cell,0.7460459680560967,0.15089928975100006,50
blast cell,0.7455784962991819,0.14899315838408791,50
cerebral cortex,0.7455694594422919,0.25868789508883033,195
adult stem cell,0.7455161667315933,0.15101766460770413,50
marrow cell,0.7441682898324893,0.1484711413460893,50
cerebral hemisphere,0.740718168742839,0.2575504773935153,204
telencephalon,0.7405993271738865,0.2569331453643164,204
digestive gland,0.7405582922824302,0.5188135868555684,616
blood platelet,0.7320522674865488,0.03934157077284647,15
megakaryoblast,0.7318472969510633,0.03904791517853633,15
bone marrow cell,0.7315142198308993,0.03852388182696372,15
organism form,0.731349337465392,0.3766000520803998,395
embryonic structure,0.7312399594389818,0.37647334596866733,395
fetus,0.7294979177940382,0.3679638499750287,380
placenta,0.7294567442298191,0.3679441094560776,380
alimentary canal,0.7293323584445808,0.49852539959401077,645
blood plasma,0.7292595439405585,0.03822821662533533,15
megakaryocyte,0.7288752241865232,0.039170495139299724,15
gastrointestinal tract,0.7280362807035939,0.4680957608012428,555
respiratory system,0.7274522248676755,0.4731106230647986,578
lung,0.7262491394615747,0.4419423676465499,494
internal female genital organ,0.7218307158669014,0.4579207489068833,557
seminal vesicle,0.7211737629459148,0.01330309742365581,10
viscus,0.7175226878898421,0.5932443968991856,903
female reproductive system,0.713966823345181,0.795661539133794,1613
reproductive system,0.7096914205661251,0.8047440183396029,1645
urogenital system,0.7074988432811157,0.8119915932475668,1681
ophthalmic nerve,0.6984187707217546,0.01786897443313138,3
brain,0.6981406575350898,0.7404213730625181,1459
nervous system,0.6980837599544938,0.743998601037971,1465
central nervous system,0.6980665766021994,0.7439857680722852,1465
male reproductive gland,0.6962027988391645,0.6232722802000235,1076
oviduct,0.6958231798554999,0.013672779556290213,18
male reproductive system,0.6955745276079538,0.6230661041633037,1077
trigeminal nerve,0.6945932160163223,0.01776546770964222,3
cranial nerve,0.6908951798010711,0.017701294911683006,3
vagina,0.6907963339004445,0.011686791766222398,14
testis,0.6898689352517379,0.49742927161945083,771
gonad,0.6898422360964149,0.4973697019115856,771
head,0.6873262860663927,0.745522465679183,1510
female reproductive gland,0.6858834049845286,0.5771185499633424,979
spinal ganglion,0.6854334226988382,0.03830441399758267,6
parathyroid gland,0.6843202897755337,0.012663327997814616,14
peripheral ganglion,0.6791778373547811,0.03959466663503687,6
endocrine gland,0.6790371658335145,0.7019627435826253,1333
cranial ganglion,0.6784893267651888,0.0628862110188826,7
internal male genital organ,0.6782017265720212,0.5253578036912293,839
nasopharynx,0.6779638009049773,0.01652998896943047,17
gland,0.677920656137938,0.7141068704839735,1379
whole body,0.6756875277717949,0.899733118591866,2134
trigeminal ganglion,0.675424192665572,0.061946358962249225,7
rectum,0.6733795919842432,0.07025889833617537,43
oral mucosa,0.6701215611004478,0.009745654557785543,12
mucosa,0.6689699296225208,0.009699606935693161,12
lateral ventricle,0.6640789136561619,0.010344193098627382,15
epididymis,0.6635408660005124,0.015090140785581156,15
brain ventricle,0.6620804509351781,0.01029932308133365,15
hippocampus,0.6535590801822073,0.008742489878054437,14
breast,0.6395849346656418,0.010276130430103727,15
animal,0.620249936240755,0.9992102284896592,2614
larynx,0.587173579109063,0.06582494462801708,13
