pool,model,embedding_dim,n_proteins_ml,n_tissues,n_tissues_evaluated,train_size,test_size,macro_roc_auc,macro_pr_auc,epochs,batch_size,lr
max,Ankh Base + MLP,768,13081,235,235,10464,2617,0.7557927021468824,0.2201672498289715,40,64,0.001
attn,Ankh Base + MLP,768,13081,235,235,10464,2617,0.7920488475236549,0.2650382012674072,40,64,0.001
