label,prevalence,ROC_model,ROC_random,ROC_gain,PRAUC_model,PRAUC_random,PRAUC_gain,F1_model,F1_random,F1_gain
Brain,0.5575,0.698,0.5,0.198,0.7387,0.5575,0.1812,0.7262,0.7159,0.0103
Testis,0.2946,0.6855,0.5,0.1855,0.4782,0.2946,0.1836,0.5067,0.4551,0.0515
Lung,0.1888,0.7072,0.5,0.2072,0.4055,0.1888,0.2167,0.428,0.3176,0.1105
Liver,0.1265,0.8007,0.5,0.3007,0.4082,0.1265,0.2817,0.4577,0.2246,0.2331
Kidney,0.1169,0.7749,0.5,0.2749,0.386,0.1169,0.2691,0.4294,0.2094,0.22
