model,pooling,accuracy,macro_f1,weighted_f1,n_test
mlp,attn,0.884125144843569,0.8028715359822105,0.8831557793460756,863
logistic_regression,max,0.8366164542294322,0.7633345750155385,0.8368497610855503,863
logistic_regression,attn,0.8308227114716107,0.7395785192749431,0.8421609892382625,863
mlp,max,0.4020857473928158,0.08193624557260921,0.23061777577736706,863
