Model,AUROC,AUPRC,Precision,Recall,F1
AttnPool MLP,0.7326,0.7551,0.7149,0.6667,0.69
Hybrid (C+Attn),0.732,0.7323,0.7043,0.6835,0.6938
CenterOnly MLP,0.7318,0.7394,0.7032,0.6498,0.6754
MaxPool MLP,0.6784,0.6859,0.6441,0.6034,0.6231
