model,pooling,roc_auc,pr_auc,precision,recall,f1,mcc,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.7958991174331268,0.14682694121432757,0.1054421768707483,0.43661971830985913,0.16986301369863013,0.18464815380440638,31,263,3358,40,3692,0.019230769230769232
logistic_regression,attn,0.765437140934533,0.10404732781239309,0.11739130434782609,0.38028169014084506,0.17940199335548174,0.18422796678794537,27,203,3418,44,3692,0.019230769230769232
mlp,max,0.7155054047010592,0.15991079979826778,0.11764705882352941,0.2535211267605634,0.16071428571428573,0.14900151262533687,18,135,3486,53,3692,0.019230769230769232
logistic_regression,max,0.7085856758890821,0.06966677691539688,0.08205128205128205,0.22535211267605634,0.12030075187969924,0.10801628149860272,16,179,3442,55,3692,0.019230769230769232
