Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.7849,0.225,0.2453,0.4248,0.311
MaxPool MLP,0.775,0.2098,0.197,0.4314,0.2705
AttnPool MLP,0.7694,0.219,0.2407,0.3399,0.2818
CenterOnly MLP,0.7497,0.1854,0.1537,0.4641,0.2309
