Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.6164,0.6474,0.6229,0.6056,0.6141
CenterOnly MLP,0.6003,0.6416,0.6254,0.5194,0.5675
MaxPool MLP,0.5801,0.6445,0.6279,0.525,0.5719
AttnPool MLP,0.5773,0.6387,0.6073,0.5583,0.5818
