model,pooling,roc_auc,pr_auc,precision,recall,f1,tp,fp,tn,fn,n_test,positive_rate_test
mlp,attn,0.9694817455363363,0.9150436374741621,0.8657635467980296,0.8722084367245657,0.8689740420271941,703,109,2777,103,3692,0.21830985915492956
logistic_regression,attn,0.9648001217480127,0.9103111759689133,0.8308227114716107,0.8895781637717122,0.8591971240263631,717,146,2740,89,3692,0.21830985915492956
mlp,max,0.965314498503084,0.9019667300147487,0.851985559566787,0.8784119106699751,0.8649969456322542,708,123,2763,98,3692,0.21830985915492956
logistic_regression,max,0.9560309975942731,0.8749215292781124,0.7782754759238522,0.8622828784119106,0.8181283107710418,695,198,2688,111,3692,0.21830985915492956
