model,pooling,accuracy,macro_f1,weighted_f1,n_test
mlp,attn,0.895712630359212,0.8096008257496272,0.9001296564802409,863
logistic_regression,max,0.7740440324449595,0.6755925059247314,0.7847514891068541,863
logistic_regression,attn,0.7508690614136733,0.6751688428532276,0.7746689396952728,863
mlp,max,0.4704519119351101,0.2081267623436298,0.4039431851630822,863
