Model,AUROC,AUPRC,Precision,Recall,F1
Hybrid (C+Attn),0.7634,0.2326,0.2308,0.3701,0.2843
MaxPool MLP,0.7494,0.1643,0.1471,0.5455,0.2317
AttnPool MLP,0.7434,0.2307,0.2387,0.3766,0.2922
CenterOnly MLP,0.7423,0.1929,0.1982,0.2857,0.234
