model,pooling,accuracy,macro_f1,weighted_f1,n_test
logistic_regression,attn,0.8864426419466975,0.813668343922242,0.8862804937365434,863
mlp,max,0.8621089223638471,0.7883276634796869,0.8615357201606914,863
mlp,attn,0.8690614136732329,0.7863254824220929,0.8758375370386571,863
logistic_regression,max,0.831981460023175,0.7665885214473596,0.830973296570887,863
