model,pooling,accuracy,macro_f1,weighted_f1,n_test
mlp,attn,0.8206066945606695,0.7188500919564537,0.8270600502791342,1912
logistic_regression,attn,0.803347280334728,0.7128461658061925,0.8045610532244557,1912
mlp,max,0.8049163179916318,0.7067591423641468,0.8043387725065989,1912
logistic_regression,max,0.7400627615062761,0.6586592686937798,0.7409514524591846,1912
